id,month,top1,top2,top3
0,1701,1948510.59,2735530,92206.28
1,1702,1892155.7,415800,232830.6
2,1703,2301093.33,1784890.39,0
3,1704,2382908.6,2155680,0
4,1705,1905694.15,2384800,1896924.61
5,1706,1135231.2,2223010,89770.49
6,1707,1630945.25,906945,0
7,1708,991248.73,2643940,0
8,1709,2879107.16,2744180,0
9,1710,1456636.31,1846688,53689.05
10,1711,2179353.25,2401610,257921.22
11,1712,982237.08,1485570,53392.82
12,1801,1471822.46,3004624.12,783287.44
13,1802,1205011.1,1815379.2,339229.52
14,1803,1730766.44,1263790,0
15,1804,2388456.78,2028466.59,1463724
16,1805,5856161.62,3929191.38,244994.4
17,1806,5136855.7,2200822.8,6291.91
18,1807,1837338.84,1367300,0
19,1808,2213987.08,1283370,0
20,1809,487793.8,0,0
21,1810,2294260,598752,0
22,1811,1644977,0,0
23,1812,2078518,0,0
24,1901,1194948.86,0,78676.37
25,1902,1286947.25,0,0
26,1903,1750927.6,415785.4,0
27,1904,1302438.3,370092.8,251745.6
28,1905,1835511.85,631611.2,155210
29,1906,2188625.97,486807.2,0
30,1907,339458.82,523258.3,0
31,1908,369146.8,0,0
32,1909,458602,352704,0
33,1910,564205.29,0,0
34,1911,508970.61,257400,0
35,1912,4007763.32,0,47503.48
36,2001,153345.32,0,189693
37,2002,73459.65,0,1037338.41
38,2003,0,0,638994.32
