id,month,top1,top2,top3
0,1701,465000,0,836128.48
1,1702,0,0,427790.91
2,1703,320050.04,0,831808.77
3,1704,687600,0,1120805.98
4,1705,650100,37280,471152.33
5,1706,1436116.98,455775,174658.42
6,1707,653715.2,19000,43655
7,1708,2790571.69,19000,0
8,1709,2112780,150600,370740
9,1710,1005100,0,488872
10,1711,1119900,203090.05,512082.4
11,1712,747250,19750,269717.28
12,1801,1687104,599325.17,346493
13,1802,655969.2,403261.62,0
14,1803,419482,1263790,0
15,1804,323840,1802790.59,131440
16,1805,536480,2087541.38,1505552.82
17,1806,1283283.16,22491.91,786640
18,1807,0,1367300,165330
19,1808,0,1295970,496440
20,1809,0,55955,44520
21,1810,38670,598752,5350
22,1811,82500,0,0
23,1812,312100,36000,138900
24,1901,41850,34635,46200
25,1902,195100,0,94600
26,1903,18800,415785.4,0
27,1904,0,646488.4,0
28,1905,0,786821.2,35700
29,1906,104060,486807.2,160000
30,1907,38720,523258.3,72660
31,1908,49300,0,106680
32,1909,17000,352704,108360
33,1910,9184.8,0,103834
34,1911,29094,292680,34895.36
35,1912,0,47503.48,0
36,2001,122824.8,189693,0
37,2002,117307.33,348756.59,0
38,2003,0,86835.37,0
