id,date,revenue
0,2017-01-02,0
1,2017-01-03,15894.93
2,2017-01-04,320323.76
3,2017-01-05,77693.38
4,2017-01-06,103384.29
5,2017-01-07,
6,2017-01-08,
7,2017-01-09,562962.46
8,2017-01-10,331365.8
9,2017-01-11,14035.22
10,2017-01-12,72170.4
11,2017-01-13,343775.55
12,2017-01-14,
13,2017-01-15,
14,2017-01-16,
15,2017-01-17,608447.96
16,2017-01-18,278884.1
17,2017-01-19,123932.89
18,2017-01-20,252560.03
19,2017-01-21,
20,2017-01-22,
21,2017-01-23,808426.22
22,2017-01-24,64842.38
23,2017-01-25,103212.55
24,2017-01-26,162341.11
25,2017-01-27,125709.97
26,2017-01-28,
27,2017-01-29,
28,2017-01-30,193951.24
29,2017-01-31,216331.7
30,2017-02-01,158755.74
31,2017-02-02,236133.86
32,2017-02-03,255939.12
33,2017-02-04,
34,2017-02-05,
35,2017-02-06,375222.04
36,2017-02-07,607573.99
37,2017-02-08,19347
38,2017-02-09,152173.99
39,2017-02-10,247962.19
40,2017-02-11,
41,2017-02-12,
42,2017-02-13,236277.78
43,2017-02-14,135423.46
44,2017-02-15,94012.52
45,2017-02-16,139252.09
46,2017-02-17,132733.45
47,2017-02-18,
48,2017-02-19,
49,2017-02-20,0
50,2017-02-21,595408.38
51,2017-02-22,85126.2
52,2017-02-23,120722.12
53,2017-02-24,160534.71
54,2017-02-25,
55,2017-02-26,
56,2017-02-27,553403.99
57,2017-02-28,274238.66
58,2017-03-01,35852.41
59,2017-03-02,166562.71
60,2017-03-03,320113.44
61,2017-03-04,
62,2017-03-05,
63,2017-03-06,302645.35
64,2017-03-07,255871.8
65,2017-03-08,159172.2
66,2017-03-09,238418.79
67,2017-03-10,576720.59
68,2017-03-11,
69,2017-03-12,
70,2017-03-13,390844
71,2017-03-14,184212.58
72,2017-03-15,203819.97
73,2017-03-16,170903.41
74,2017-03-17,124631.3
75,2017-03-18,
76,2017-03-19,
77,2017-03-20,287412.53
78,2017-03-21,484753.9
79,2017-03-22,119249.88
80,2017-03-23,275930.98
81,2017-03-24,208317.63
82,2017-03-25,
83,2017-03-26,
84,2017-03-27,495786.78
85,2017-03-28,199664.59
86,2017-03-29,131680.35
87,2017-03-30,320126.8
88,2017-03-31,419242.01
89,2017-04-01,
90,2017-04-02,
91,2017-04-03,640505.68
92,2017-04-04,30643.79
93,2017-04-05,58021.78
94,2017-04-06,203804.35
95,2017-04-07,287363.3
96,2017-04-08,
97,2017-04-09,
98,2017-04-10,566733.9
99,2017-04-11,638139.11
100,2017-04-12,326009
101,2017-04-13,111073.02
