id,month,top1,top2,top3
0,1701,1599313.85,919293.03,318913.45
1,1702,1213365.23,693231.09,393888.71
2,1703,1769266.32,881498.11,427015.35
3,1704,2008784.58,869100.52,282896.42
4,1705,1923255.37,524101.34,394770.09
5,1706,1860639.39,805913.8,431520.83
6,1707,1435078.75,602688.61,398623.33
7,1708,1535080.02,746617.11,386375.82
8,1709,1213848.78,509387.92,402186.72
9,1710,1639978.79,680707.86,340384.69
10,1711,1359911.82,509042.33,324343.91
11,1712,1353899.9,253164.09,358290.96
12,1801,1896192.79,471020.59,324629.26
13,1802,1405025.65,617236.8,494615.69
14,1803,1714586.35,895676.51,569179.65
15,1804,1963767.25,747160.9,480539.38
16,1805,2400865.27,1111782.59,469910.76
17,1806,1972118.44,1017701.45,515595.6
18,1807,1558862.13,669386.71,478022.21
19,1808,1467341.57,845903.98,503524.32
20,1809,1318780.29,409852.98,416605.79
21,1810,1584404.95,535518.91,445872.07
22,1811,1518750.25,535232.17,424049.49
23,1812,1237207,748875.57,450791.67
24,1901,1599286.72,940679.44,551493.91
25,1902,1507420.33,1525180.98,476456.29
26,1903,1147343.47,1326802.37,371430.11
27,1904,1267182.67,1093030.66,452051.3
28,1905,1481473.79,1580139.86,210073.71
29,1906,746173.98,1456565.44,44352.44
30,1907,765316.39,959868.17,68043.94
31,1908,523482.9,36964.92,25398.13
32,1909,768630.28,6032.54,101867.57
33,1910,734933.8,41622.2,30554.17
34,1911,426914.1,108859.59,0
35,1912,264472.88,291647.75,0
36,2001,139941.14,275243.4,0
37,2002,82940.68,448931.82,0
38,2003,15584.67,178808.94,0
